name,price,year,status,origin,mileage,fuel_type,body_type,brand,age
Mercedes-Benz GLC 200 4Matic 2021,1389000000,2021,Xe cũ,Trong nước,55555.0,xăng,Other,Mercedes,4
Kia Sonet 1.5 Premium 2024,585000000,2024,Xe cũ,Trong nước,1000.0,xăng,Crossover,Kia,1
Ford Everest Titanium 2.0L AT 4WD 2019,810000000,2019,Xe cũ,Nhập khẩu,4.0,xăng,SUV,Ford,6
Mercedes-Benz GLC 300 4Matic 2016,885000000,2016,Xe cũ,Nhập khẩu,90000.0,xăng,SUV,Mercedes,9
Mazda 6 2.0 AT 2017,440000000,2017,Xe cũ,Trong nước,57225.0,xăng,Sedan,Mazda,8
Mitsubishi Attrage CVT 2021,309000000,2021,Xe cũ,Nhập khẩu,73000.0,xăng,Sedan,Mitsubishi,4
Kia Cerato 1.6 AT Deluxe 2016,379000000,2016,Xe cũ,Trong nước,100000.0,xăng,Sedan,Kia,9
Mazda CX-5 2015,435000000,2015,Xe cũ,Trong nước,59000.0,xăng,SUV,Mazda,10
Kia Cerato 1.6 AT Deluxe 2020,455000000,2020,Xe cũ,Trong nước,65000.0,xăng,Sedan,Kia,5
Ford Ranger XLS 2.2L 4x2 MT 2015,328000000,2015,Xe cũ,Nhập khẩu,899000.0,dầu,Bán tải,Ford,10
Mazda 3 1.5 Hatchback 2016,390000000,2016,Xe cũ,Trong nước,68000.0,xăng,Sedan,Mazda,9
Toyota Vios 1.5G AT 2016,360000000,2016,Xe cũ,Trong nước,90000.0,xăng,Sedan,Toyota,9
Nissan Kicks V 2023,660000000,2023,Xe cũ,Nhập khẩu,8000.0,khác,SUV,Nissan,2
Kia Carnival 2.2D Signature 2022,1269000000,2022,Xe cũ,Trong nước,39000.0,xăng,MPV,Kia,3
Toyota Innova 2.0E 2017,385000000,2017,Xe cũ,Trong nước,78000.0,xăng,MPV,Toyota,8
Hyundai Accent 1.4 AT Đặc biệt 2011,258000000,2011,Xe cũ,Nhập khẩu,130000.0,xăng,Sedan,Hyundai,14
Mazda 3 1.6 AT 2017,365000000,2017,Xe cũ,Trong nước,95000.0,xăng,Sedan,Mazda,8
Toyota Camry 2.4G 2012,360000000,2012,Xe cũ,Trong nước,120000.0,xăng,Sedan,Toyota,13
