Name,Year,Body_Type,Origin,Province,District,Transmission,Fuel_Type,Brand,price_num,age,mileage_num
Mercedes-Benz GLC 300 2020,2020,SUV,Nhập khẩu,Tp.HCM,Quận 7,Số tự động,Máy xăng,Mercedes-Benz,1079000000,5,49890
Hyundai Stargazer 1.5 AT Cao cấp 2022,2022,MPV,Trong nước,Vĩnh Phúc,Phúc Yên,Số tự động,Máy xăng,Hyundai,510000000,3,70000
Mazda CX-5 2.0 Luxury 2024,2024,SUV,Trong nước,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Mazda,770000000,1,20000
Mercedes-Benz GLC 250 4Matic 2017,2017,SUV,Trong nước,Tp.HCM,Quận 7,Số tự động,Máy xăng,Mercedes-Benz,899000000,8,62000
Honda HR-V L 2019,2019,Crossover,Nhập khẩu,Vĩnh Phúc,Phúc Yên,Số tự động,Máy xăng,Honda,550000000,6,87000
Toyota Fortuner 2018,2018,SUV,Trong nước,Tp.HCM,Thủ Đức,Số tự động,Máy xăng,Toyota,785000000,7,70000
Mazda CX-5 2.0 Luxury 2021,2021,SUV,Trong nước,Vĩnh Phúc,Phúc Yên,Số tự động,Máy xăng,Mazda,710000000,4,80000
Honda City 1.5 G 2013,2013,Sedan,Trong nước,Hà Nội,Đông Anh,Số tự động,Máy xăng,Honda,265000000,12,180000
MG RX5 1.5 LUX 2023,2023,SUV,Nhập khẩu,Tp.HCM,Bình Tân,Số tự động,Máy xăng,MG,599000000,2,28000
Porsche Cayenne  2014,2014,SUV,Nhập khẩu,Tp.HCM,Quận 7,Số tự động,Máy xăng,Porsche,1239000000,11,93000
Hyundai Santa Fe 2.5 Xăng Cao cấp 2024,2024,SUV,Trong nước,Hà Nội,Long Biên,Số tự động,Máy xăng,Hyundai,1190000000,1,14000
Mercedes-Benz E200 Exclusive 2020,2020,Sedan,Trong nước,Tp.HCM,Quận 7,Số tự động,Máy xăng,Mercedes-Benz,1059000000,5,50000
Hyundai Accent 1.4 AT 2022,2022,Sedan,Trong nước,Vĩnh Phúc,Phúc Yên,Số tự động,Máy xăng,Hyundai,425000000,3,92000
Mercedes-Benz C200 2015,2015,Sedan,Trong nước,Tp.HCM,Thủ Đức,Số tự động,Máy xăng,Mercedes-Benz,599000000,10,60000
Ford Everest 2.0L ST5 6AT 2WD Titanium 2018,2018,SUV,Nhập khẩu,Tp.HCM,Tân Phú,Số tự động,Máy dầu,Ford,830000000,7,77000
Ford Fiesta 1.6 AT 2012,2012,Hatchback,Nhập khẩu,Tp.HCM,Tân Phú,Số tự động,Máy xăng,Ford,285000000,13,37000
Ford Transit SVP 2021,2021,Van/Minivan,Trong nước,Tp.HCM,Tân Phú,Số sàn,Máy dầu,Ford,580000000,4,87000
Ford Ranger Raptor 2020,2020,Bán tải,Nhập khẩu,Tp.HCM,Tân Phú,Số tự động,Máy dầu,Ford,965000000,5,57000
Ford Ranger Wildtrak 3.2 4x4 AT 2017,2017,Bán tải,Nhập khẩu,Tp.HCM,Tân Phú,Số tự động,Máy dầu,Ford,615000000,8,73000
Ford Everest Sport 2.0 AT 4x2 2021,2021,SUV,Nhập khẩu,Tp.HCM,Tân Phú,Số tự động,Máy dầu,Ford,880000000,4,61000
Ford Everest 2.0L ST5 10AT 4x4 Titanium 2022,2022,SUV,Trong nước,Tp.HCM,Tân Phú,Số tự động,Máy dầu,Ford,1295000000,3,46000
Ford Explorer 2.3L Ecoboost 2019,2019,SUV,Nhập khẩu,Tp.HCM,Tân Phú,Số tự động,Máy xăng,Ford,1160000000,6,72000
Ford Everest 2.0L ST5 10AT 4x4 Titanium 2022,2022,SUV,Nhập khẩu,Tp.HCM,Tân Phú,Số tự động,Máy dầu,Ford,1330000000,3,29000
Ford Transit Tiêu chuẩn 2019,2019,Van/Minivan,Trong nước,Tp.HCM,Tân Phú,Số sàn,Máy dầu,Ford,539000000,6,95000
Hyundai Santa Fe 2.2 Dầu Cao cấp 2021,2021,SUV,Trong nước,Hà Nội,Long Biên,Số tự động,Máy dầu,Hyundai,1070000000,4,19000
Ford Everest Titanium 2.0 AT 4x2 2018,2018,SUV,Nhập khẩu,Tp.HCM,Tân Bình,Số tự động,Máy dầu,Ford,828000000,7,60000
Mercedes-Benz GLC 300 4Matic 2019,2019,SUV,Trong nước,Tp.HCM,Quận 7,Số tự động,Máy xăng,Mercedes-Benz,1099000000,6,83000
Ford Territory Titanium X 2023,2023,SUV,Nhập khẩu,Tp.HCM,Quận 10,Số tự động,Máy xăng,Ford,770000000,2,27000
Toyota Fortuner 2.7 V 4X2 AT 2017,2017,SUV,Nhập khẩu,Tp.HCM,Thủ Đức,Số tự động,Máy xăng,Toyota,685000000,8,60000
Mercedes-Benz GLC 200 4Matic 2022,2022,SUV,Trong nước,Tp.HCM,Quận 7,Số tự động,Máy xăng,Mercedes-Benz,1459000000,3,58000
Mercedes-Benz E200 Exclusive 2020,2020,Sedan,Trong nước,Tp.HCM,Quận 7,Số tự động,Máy xăng,Mercedes-Benz,1059000000,5,50000
Peugeot 2008 Allure 2025,2025,Crossover,Nhập khẩu,Hà Nội,Long Biên,Số tự động,Máy xăng,Peugeot,685000000,0,1600
Toyota Rush 1.5 AT 2021,2021,SUV,Nhập khẩu,Vĩnh Phúc,Phúc Yên,Số tự động,Máy xăng,Toyota,525000000,4,69000
Mercedes-Benz C300 AMG 2021,2021,Sedan,Nhập khẩu,Hà Nội,Long Biên,Số tự động,Máy xăng,Mercedes-Benz,1250000000,4,40000
Mazda 3 2.0L Sedan 2017,2017,Sedan,Trong nước,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,Mazda,396000000,8,60000
Kia K140 2016,2016,Xe tải,Trong nước,Hà Nội,Đông Anh,Số sàn,Máy dầu,Kia,245000000,9,10000
Mercedes-Benz E300 AMG 2020,2020,Sedan,Nhập khẩu,Hà Nội,Long Biên,Số tự động,Máy xăng,Mercedes-Benz,1499000000,5,45000
Mercedes-Benz E250 E250 2010,2010,Sedan,Nhập khẩu,Hà Nội,Long Biên,Số tự động,Máy xăng,Mercedes-Benz,315000000,15,10000
Toyota Veloz Cross 1.5 CVT TOP 2023,2023,SUV,Trong nước,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,Toyota,620000000,2,20000
Mercedes-Benz S450 4Matic 2017,2017,Sedan,Nhập khẩu,Hà Nội,Long Biên,Số tự động,Máy xăng,Mercedes-Benz,1699000000,8,80000
Toyota Land Cruiser Prado GX 2016,2016,SUV,Nhập khẩu,Hà Nội,Long Biên,Số tự động,Máy xăng,Toyota,1269000000,9,14000
Mercedes-Benz C200 2.0 AT 2016,2016,Sedan,Nhập khẩu,Hà Nội,Long Biên,Số tự động,Máy xăng,Mercedes-Benz,615000000,9,112000
BMW 320i GT 2017,2017,Sedan,Nhập khẩu,Hà Nội,Long Biên,Số tự động,Máy xăng,BMW,769000000,8,90000
